English,Marathi
mistake,चूक
mix,मिक्स
mixture,मिश्रण
mode,मोड
model,मॉडेल
moderate,मध्यम
modern,आधुनिक
modest,विनम्र
molecule,रेणू
mom,आई
moment,क्षण
money,पैसा
monitor,निरीक्षण
month,महिना
mood,मूड
moon,चंद्र
moral,नैतिक
more,अधिक
moreover,शिवाय
morning,सकाळी
mortgage,गहाण
most,जास्तीत जास्त
mostly,मुख्यतः
mother,आई
motion,हालचाल
motivation,प्रेरणा
motor,मोटर
mount,माउंट
mountain,डोंगर
mouse,उंदीर
mouth,तोंड
move,हलवा
movement,चळवळ
movie,चित्रपट
Mr,श्री
Mrs,सौ
Ms,कु
much,खूप
multiple,अनेक
multiply,गुणाकार
murder,खून
muscle,स्नायू
museum,संग्रहालय
music,संगीत
musical,संगीत
musician,संगीतकार
Muslim,मुसलमान
must,हे केलेच पाहिजे
mutual,परस्पर
my,माझे
myself,स्वतः
mystery,गूढ
myth,मिथक
naked,नग्न
name,नाव
narrative,कथा
narrow,अरुंद
nation,राष्ट्र
national,राष्ट्रीय
native,मुळ
natural,नैसर्गिक
naturally,नैसर्गिकरित्या
nature,निसर्ग
near,जवळ
nearby,जवळ
nearly,जवळजवळ
necessarily,अपरिहार्यपणे
necessary,आवश्यक
neck,मान
need,गरज
negative,नकारात्मक
negotiate,वाटाघाटी
negotiation,वाटाघाटी
neighbor,शेजारी
neighborhood,शेजार
neither,नाही
nerve,मज्जातंतू
nervous,चिंताग्रस्त
net,निव्वळ
network,नेटवर्क
never,कधीच नाही
nevertheless,असे असले तरी
new,नवीन
newly,नवीन
news,बातमी
newspaper,वृत्तपत्र
next,पुढे
nice,छान
night,रात्र
nine,नऊ
no,नाही
nobody,कोणीही नाही
nod,होकार
noise,आवाज
nomination,नामांकन
none,काहीही नाही
nonetheless,तरीही
noon,दुपार
nor,नाही
normal,सामान्य
normally,साधारणपणे
north,उत्तर
northern,उत्तर
nose,नाक
not,नाही
note,टीप
nothing,काहीही नाही
notice,सूचना
notion,कल्पना
noun,संज्ञा
novel,कादंबरी
now,आता
nowhere,कोठेही नाही
n’t,नाही
nuclear,आण्विक
number,संख्या
numeral,अंक
numerous,असंख्य
nurse,परिचारिका
nut,नट
object,ऑब्जेक्ट
objective,उद्दिष्ट
obligation,बंधन
observation,निरीक्षण
observe,निरीक्षण
observer,निरीक्षक
obtain,मिळवणे
obvious,स्पष्ट
obviously,स्पष्टपणे
occasion,प्रसंग
occasionally,अधूनमधून
occupation,व्यवसाय
occupy,व्यापू
occur,उद्भवते
ocean,महासागर
odd,विषम
odds,शक्यता
of,च्या
off,बंद
offense,गुन्हा
offensive,आक्षेपार्ह
offer,ऑफर
office,कार्यालय
officer,अधिकारी
official,अधिकृत
often,अनेकदा
oh,अरे
oil,तेल
ok,ठीक आहे
okay,ठीक आहे
old,जुन्या
Olympic,ऑलिम्पिक
on,चालू
once,एकदा
one,एक
ongoing,चालू आहे
onion,कांदा
online,ऑनलाइन
only,फक्त
onto,वर
open,उघडा
opening,उघडणे
operate,चालवा
operating,कार्यरत
operation,ऑपरेशन
operator,ऑपरेटर
opinion,मत
opponent,विरोधक
opportunity,संधी
oppose,विरोध करा
opposite,उलट
opposition,विरोध
option,पर्याय
or,किंवा
orange,नारिंगी
order,ऑर्डर
ordinary,सामान्य
organ,अवयव
organic,सेंद्रिय
organization,संघटना
organize,आयोजित करा
orientation,अभिमुखता
origin,मूळ
original,मूळ
originally,मूलतः
other,इतर
others,इतर
otherwise,अन्यथा
ought,पाहिजे
our,आमचे
ourselves,स्वतः
out,बाहेर
outcome,परिणाम
outside,बाहेर
oven,ओव्हन
over,प्रती
overall,एकूण
overcome,मात
overlook,दुर्लक्ष
owe,देणे
own,स्वतःचे
owner,मालक
oxygen,ऑक्सिजन
pace,वेग
pack,पॅक
package,पॅकेज
page,पृष्ठ
pain,वेदना
painful,वेदनादायक
paint,रंग
painter,चित्रकार
painting,चित्रकला
pair,जोडी
pale,फिकट
Palestinian,पॅलेस्टिनी
palm,हस्तरेखा
pan,पॅन
panel,पॅनेल
pant,पँट
paper,कागद
paragraph,परिच्छेद
parent,पालक
park,पार्क
parking,पार्किंग
part,भाग
participant,सहभागी
participate,सहभागी व्हा
participation,सहभाग
particular,विशिष्ट
particularly,विशेषतः
partly,अंशतः
partner,भागीदार
partnership,भागीदारी
party,पार्टी
pass,पास
passage,रस्ता
passenger,प्रवासी
passion,आवड
past,भूतकाळ
patch,पॅच
path,मार्ग
patient,रुग्ण
pattern,नमुना
pause,विराम द्या
pay,पैसे द्या
payment,पेमेंट
PC,पीसी
peace,शांतता
peak,शिखर
peer,समवयस्क
penalty,दंड
people,लोक
pepper,मिरपूड
per,प्रति
perceive,जाणणे
percentage,टक्केवारी
perception,समज
perfect,परिपूर्ण
perfectly,उत्तम प्रकारे
perform,करा
performance,कामगिरी
perhaps,कदाचित
period,कालावधी
permanent,कायम
permission,परवानगी
permit,परवानगी
person,व्यक्ती
personal,वैयक्तिक
personality,व्यक्तिमत्व
personally,वैयक्तिकरित्या
personnel,कर्मचारी
perspective,दृष्टीकोन
persuade,मन वळवणे
pet,पाळीव प्राणी
phase,टप्पा
phenomenon,घटना
philosophy,तत्वज्ञान
phone,फोन
photo,छायाचित्र
photograph,फोटो
photographer,छायाचित्रकार
phrase,वाक्यांश
physical,शारीरिक
physically,शारीरिकदृष्ट्या
physician,वैद्य
piano,पियानो
pick,निवडा
picture,चित्र
pie,पाई
piece,तुकडा
pile,ढीग
pilot,पायलट
pine,पाइन
pink,गुलाबी
pipe,पाईप
pitch,खेळपट्टी
place,ठिकाण
plain,साधा
plan,योजना
plane,विमान
planet,ग्रह
planning,नियोजन
plant,वनस्पती
plastic,प्लास्टिक
plate,प्लेट
platform,व्यासपीठ
play,खेळ
player,खेळाडू
please,कृपया
pleasure,आनंद
plenty,भरपूर
plot,प्लॉट
plural,अनेकवचन
plus,अधिक
PM,सायं
pocket,खिसा
poem,कविता
poet,कवी
poetry,कविता
point,बिंदू
pole,खांब
police,पोलीस
policy,धोरण
political,राजकीय
politically,राजकीयदृष्ट्या
politician,राजकारणी
politics,राजकारण
poll,मतदान
pollution,प्रदूषण
pool,पूल
poor,गरीब
pop,पॉप
popular,लोकप्रिय
populate,लोकसंख्या वाढवणे
population,लोकसंख्या
porch,पोर्च
port,बंदर
portion,भाग
portrait,पोर्ट्रेट
portray,चित्रण
pose,मुद्रा
position,स्थिती
positive,सकारात्मक
possess,ताब्यात घेणे
possibility,शक्यता
possible,शक्य
possibly,शक्यतो
post,पोस्ट
pot,भांडे
potato,बटाटा
potential,संभाव्य
potentially,संभाव्य
pound,पाउंड
pour,ओतणे
poverty,गरिबी
powder,पावडर
power,शक्ती
powerful,शक्तिशाली
practical,व्यावहारिक
practice,सराव
pray,प्रार्थना करा
prayer,प्रार्थना
precisely,तंतोतंत
predict,अंदाज
prefer,प्राधान्य
preference,प्राधान्य
pregnancy,गर्भधारणा
pregnant,गर्भवती
preparation,तयारी
prepare,तयार करा
prescription,प्रिस्क्रिप्शन
presence,उपस्थिती
present,उपस्थित
presentation,सादरीकरण
preserve,जतन करणे
president,अध्यक्ष
presidential,अध्यक्षीय
press,दाबा
pressure,दबाव
pretend,ढोंग
pretty,सुंदर
prevent,प्रतिबंध
previous,मागील
previously,पूर्वी
price,किंमत
pride,अभिमान
priest,पुजारी
primarily,प्रामुख्याने
primary,प्राथमिक
prime,प्रमुख
principal,प्राचार्य
principle,तत्त्व
print,छापणे
prior,आधी
priority,प्राधान्य
prison,तुरुंग
prisoner,कैदी
privacy,गोपनीयता
private,खाजगी
probable,संभाव्य
probably,कदाचित
problem,समस्या
procedure,प्रक्रिया
proceed,पुढे जा
process,प्रक्रिया
produce,उत्पादन
producer,निर्माता
product,उत्पादन
production,उत्पादन
profession,व्यवसाय
professional,व्यावसायिक
professor,प्राध्यापक
profile,प्रोफाइल
profit,नफा
program,कार्यक्रम
progress,प्रगती
project,प्रकल्प
prominent,प्रमुख
promise,वचन
promote,प्रोत्साहन देणे
prompt,तत्पर
proof,पुरावा
proper,योग्य
properly,व्यवस्थित
property,मालमत्ता
proportion,प्रमाण
proposal,प्रस्ताव
propose,प्रस्ताव
proposed,प्रस्तावित
prosecutor,फिर्यादी
prospect,संभावना
protect,संरक्षण
protection,संरक्षण
protein,प्रथिने
protest,निषेध
proud,अ भी मा न
prove,सिद्ध करा
provide,प्रदान
provider,प्रदाता
province,प्रांत
provision,तरतूद
psychological,मानसिक
psychologist,मानसशास्त्रज्ञ
psychology,मानसशास्त्र
public,सार्वजनिक
publication,प्रकाशन
publicly,जाहीरपणे
publish,प्रकाशित करा
publisher,प्रकाशक
pull,खेचणे
punishment,शिक्षा
purchase,खरेदी
pure,शुद्ध
purpose,उद्देश
pursue,पाठलाग करणे
push,धक्का
put,ठेवले
qualify,पात्र
quality,गुणवत्ता
quart,चौथा
quarter,तिमाहीत
quarterback,क्वार्टरबॅक
question,प्रश्न
quick,जलद
quickly,पटकन
quiet,शांत
quietly,शांतपणे
quit,सोडा
quite,बऱ्यापैकी
quote,कोट
quotient,भाग
race,शर्यत
racial,वांशिक
radical,संपूर्ण
radio,रेडिओ
rail,रेल्वे
rain,पाऊस
raise,वाढवणे
ran,धावले
range,श्रेणी
rank,रँक
rapid,वेगवान
rapidly,वेगाने
rare,दुर्मिळ
rarely,क्वचितच
rate,दर
rather,त्याऐवजी
rating,रेटिंग
ratio,गुणोत्तर
raw,कच्चा
reach,पोहोच
react,प्रतिक्रिया
reaction,प्रतिक्रिया
read,वाचा
reader,वाचक
reading,वाचन
ready,तयार
real,वास्तविक
reality,वास्तव
realize,जाणीव
really,खरोखर
reason,कारण
reasonable,वाजवी
recall,आठवणे
receive,प्राप्त करा
recent,अलीकडील
recently,अलीकडे
recipe,कृती
recognition,ओळख
recognize,ओळखणे
recommend,शिफारस करा
recommendation,शिफारस
record,विक्रम
recording,मुद्रित करणे
recover,पुनर्प्राप्त करा
recovery,पुनर्प्राप्ती
recruit,भरती
red,लाल
reduce,कमी करा
reduction,घट
refer,संदर्भ
reference,संदर्भ
reflect,प्रतिबिंबित करा
reflection,प्रतिबिंब
reform,सुधारणा
refugee,निर्वासित
refuse,नकार
regard,संबंध
regarding,संबंधित
regardless,पर्वा न करता
regime,शासन
region,प्रदेश
regional,प्रादेशिक
register,नोंदणी करा
regular,नियमित
regularly,नियमितपणे
regulate,नियमन करणे
regulation,नियमन
reinforce,बळकट करणे
reject,नाकारणे
relate,संबंधित
relation,संबंध
relationship,नाते
relative,नातेवाईक
relatively,तुलनेने
relax,आराम
release,सोडणे
relevant,संबंधित
relief,आराम
religion,धर्म
religious,धार्मिक
rely,विसंबून राहा
remain,राहिले
remaining,शिल्लक
remarkable,उल्लेखनीय
remember,लक्षात ठेवा
remind,आठवण करून देणे
remote,दूरस्थ
remove,काढा
repeat,पुन्हा करा
repeatedly,वारंवार
replace,पुनर्स्थित करा
reply,उत्तर
report,अहवाल
reporter,रिपोर्टर
represent,प्रतिनिधित्व
representation,प्रतिनिधित्व
representative,प्रतिनिधी
Republican,रिपब्लिकन
reputation,प्रतिष्ठा
request,विनंती
require,आवश्यक
requirement,आवश्यकता
research,संशोधन
researcher,संशोधक
resemble,सारखा
reservation,आरक्षण
resident,रहिवासी
resist,प्रतिकार
resistance,प्रतिकार
resolution,ठराव
resolve,संकल्प
resort,रिसॉर्ट
resource,संसाधन
respect,आदर
respond,प्रतिसाद
respondent,प्रतिवादी
response,प्रतिसाद
responsibility,जबाबदारी
responsible,जबाबदार
rest,उर्वरित
restaurant,उपहारगृह
restore,पुनर्संचयित करा
restriction,निर्बंध
result,परिणाम
retain,टिकवून ठेवणे
retire,निवृत्त होणे
retirement,निवृत्ती
return,परत
reveal,प्रकट करणे
revenue,महसूल
review,पुनरावलोकन
revolution,क्रांती
rhythm,लय
rice,तांदूळ
rich,श्रीमंत
rid,सुटका
ride,स्वार
rifle,रायफल
right,बरोबर
ring,रिंग
rise,उदय
risk,धोका
river,नदी
road,रस्ता
rock,खडक
role,भूमिका
roll,रोल
romantic,रोमँटिक
roof,छप्पर
room,खोली
root,मूळ
rope,दोरी
rose,गुलाब
rough,उग्र
roughly,अंदाजे
round,गोल
route,मार्ग
routine,दिनक्रम
row,पंक्ती
rub,घासणे
rule,नियम
run,धावणे
running,धावणे
rural,ग्रामीण
rush,गर्दी
Russian,रशियन
sacred,पवित्र
sad,दुःखी
safe,सुरक्षित
safety,सुरक्षा
said,म्हणाला
sail,जहाज
sake,फायद्यासाठी
salad,कोशिंबीर
salary,पगार
sale,विक्री
sales,विक्री
salt,मीठ
same,त्याच
sample,नमुना
sanction,मंजुरी
sand,वाळू
sat,बसला
satellite,उपग्रह
satisfaction,समाधान
satisfy,समाधान करा
sauce,सॉस
save,जतन करा
saving,बचत
saw,पाहिले
say,म्हणा
scale,स्केल
scandal,घोटाळा
scared,घाबरलो
scenario,परिस्थिती
scene,देखावा
schedule,वेळापत्रक
scheme,योजना
scholar,अभ्यासक
scholarship,शिष्यवृत्ती
school,शाळा
science,विज्ञान
scientific,वैज्ञानिक
scientist,शास्त्रज्ञ
scope,व्याप्ती
score,धावसंख्या
scream,किंचाळणे
screen,स्क्रीन
script,स्क्रिप्ट
sea,समुद्र
search,शोध
season,हंगाम
seat,आसन
second,दुसरा
secret,गुप्त
secretary,सचिव
section,विभाग
sector,क्षेत्र
secure,सुरक्षित
security,सुरक्षा
see,पहा
seed,बियाणे
seek,शोधा
seem,दिसते
segment,विभाग
seize,जप्त करणे
select,निवडा
selection,निवड
self,स्वतः
sell,विकणे
Senate,सिनेट
senator,सिनेटर
send,पाठवा
senior,वरिष्ठ
sense,अर्थ
sensitive,संवेदनशील
sent,पाठवले
sentence,वाक्य
separate,वेगळे
sequence,क्रम
series,मालिका
serious,गंभीर
seriously,गंभीरपणे
serve,सर्व्ह करा
service,सेवा
session,सत्र
set,सेट
setting,सेटिंग
settle,सेटल
settlement,सेटलमेंट
seven,सात
several,अनेक
severe,तीव्र
sex,लिंग
sexual,लैंगिक
shade,सावली
shadow,सावली
shake,हलवा
shall,होईल
shape,आकार
share,वाटा
sharp,तीक्ष्ण
she,ती
sheet,पत्रक
shelf,शेल्फ
shell,शेल
shelter,निवारा
shift,शिफ्ट
shine,चमकणे
ship,जहाज
shirt,शर्ट
shit,छी
shock,धक्का
shoe,बूट
shoot,शूट
shooting,शूटिंग
shop,दुकान
shopping,खरेदी
shore,किनारा
short,लहान
shortly,लवकरच
shot,शॉट
should,पाहिजे
shoulder,खांदा
shout,ओरडा
show,दाखवा
shower,शॉवर
shrug,कवटाळणे
shut,बंद
sick,आजारी
side,बाजू
sigh,उसासा
sight,दृष्टी
sign,चिन्ह
signal,सिग्नल
significance,महत्त्व
significant,लक्षणीय
significantly,लक्षणीय
silence,शांतता
silent,गप्प
silver,चांदी
similar,समान
similarly,त्याचप्रमाणे
simple,सोपे
simply,फक्त
sin,पाप
since,पासून
sing,गा
singer,गायक
single,अविवाहित
sink,बुडणे
sir,साहेब
sister,बहीण
sit,बसणे
site,जागा
situation,परिस्थिती
six,सहा
size,आकार
ski,स्की
skill,कौशल्य
skin,त्वचा
sky,आकाश
slave,गुलाम
sleep,झोप
slice,तुकडा
slide,स्लाइड
slight,किंचित
slightly,किंचित
slip,घसरणे
slow,मंद
slowly,हळूहळू
small,लहान
smart,हुशार
smell,वास
smile,हसू
smoke,धूर
smooth,गुळगुळीत
snap,स्नॅप
snow,बर्फ
so,त्यामुळे
so-called,तथाकथित
soccer,सॉकर
social,सामाजिक
society,समाज
soft,मऊ
software,सॉफ्टवेअर
soil,माती
solar,सौर
soldier,सैनिक
solid,घन
solution,उपाय
solve,सोडवा
some,काही
somebody,कोणीतरी
somehow,कसा तरी
someone,कोणीतरी
something,काहीतरी
sometimes,कधी कधी
somewhat,काही प्रमाणात
somewhere,कुठेतरी
son,मुलगा
song,गाणे
soon,लवकरच
sophisticated,अत्याधुनिक
sorry,क्षमस्व
sort,क्रमवारी लावा
soul,आत्मा
sound,आवाज
soup,सूप
source,स्रोत
south,दक्षिण
southern,दक्षिणेकडील
Soviet,सोव्हिएत
space,जागा
Spanish,स्पॅनिश
speak,बोल
speaker,स्पीकर
special,विशेष
specialist,तज्ञ
species,प्रजाती
specific,विशिष्ट
specifically,विशेषत
speech,भाषण
speed,वेग
spell,शब्दलेखन
spend,खर्च
spending,खर्च करणे
spin,फिरकी
spirit,आत्मा
spiritual,आध्यात्मिक
split,विभाजित
spoke,बोलला
spokesman,प्रवक्ता
sport,खेळ
spot,स्पॉट
spread,प्रसार
spring,वसंत ऋतू
square,चौरस
squeeze,पिळून काढणे
stability,स्थिरता
stable,स्थिर
staff,कर्मचारी
stage,स्टेज
stair,जिना
stake,भागभांडवल
stand,उभे रहा
standard,मानक
standing,उभे
star,तारा
stare,टक लावून पहा
start,प्रारंभ
state,राज्य
statement,विधान
station,स्टेशन
statistics,आकडेवारी
status,स्थिती
stay,राहा
stead,स्थिर
steady,स्थिर
steal,चोरी
steam,वाफ
steel,पोलाद
step,पाऊल
stick,काठी
still,अजूनही
stir,ढवळणे
stock,साठा
stomach,पोट
stone,दगड
stood,उभा राहिला
stop,थांबा
storage,साठवण
store,स्टोअर
storm,वादळ
story,कथा
straight,सरळ
strange,विचित्र
stranger,अनोळखी
strategic,धोरणात्मक
strategy,धोरण
stream,प्रवाह
street,रस्ता
strength,शक्ती
strengthen,मजबूत करा
stress,ताण
stretch,ताणून लांब करणे
strike,संप
string,स्ट्रिंग
strip,पट्टी
stroke,स्ट्रोक
strong,मजबूत
strongly,जोरदार
structure,रचना
struggle,संघर्ष
student,विद्यार्थी
studio,स्टुडिओ
study,अभ्यास
stuff,सामग्री
stupid,मूर्ख
style,शैली
subject,विषय
submit,प्रस्तुत करणे
subsequent,त्यानंतर
substance,पदार्थ
substantial,महत्त्वपूर्ण
subtract,वजा करा
succeed,यशस्वी
success,यश
successful,यशस्वी
successfully,यशस्वीरित्या
such,जसे
sudden,अचानक
suddenly,अचानक
sue,खटला
suffer,त्रास
sufficient,पुरेसे
suffix,प्रत्यय
sugar,साखर
suggest,सूचित
suggestion,सूचना
suicide,आत्महत्या
suit,सूट
summer,उन्हाळा
summit,शिखर
sun,सूर्य
super,उत्कृष्ट
supply,पुरवठा
support,समर्थन
supporter,समर्थक
suppose,समजा
supposed,अपेक्षित
Supreme,सर्वोच्च
sure,नक्की
surely,नक्कीच
surface,पृष्ठभाग
surgery,शस्त्रक्रिया
surprise,आश्चर्य
surprised,आश्चर्यचकित
surprising,आश्चर्यकारक
surprisingly,आश्चर्यकारकपणे
surround,भोवती
survey,सर्वेक्षण
survival,अस्तित्व
survive,जगणे
survivor,वाचलेले
suspect,संशयित
sustain,टिकवणे
swear,शपथ
sweep,झाडू
sweet,गोड
swim,पोहणे
swing,स्विंग
switch,स्विच
syllable,अक्षरे
symbol,चिन्ह
symptom,लक्षणं
system,प्रणाली
table,टेबल
tablespoon,चमचे
tactic,युक्ती
tail,शेपूट
take,घ्या
tale,कथा
talent,प्रतिभा
talk,बोला
tall,उंच
tank,टाकी
tap,टॅप करा
tape,टेप
target,लक्ष्य
task,कार्य
taste,चव
tax,कर
taxpayer,करदाता
tea,चहा
teach,शिकवा
teacher,शिक्षक
teaching,शिक्षण
team,संघ
tear,अश्रू
teaspoon,चमचे
technical,तांत्रिक
technique,तंत्र
technology,तंत्रज्ञान
teen,किशोर
teenager,किशोर
teeth,दात
telephone,दूरध्वनी
telescope,दुर्बीण
television,दूरदर्शन
tell,सांगा
temperature,तापमान
temporary,तात्पुरता
ten,दहा
tend,कल
tendency,प्रवृत्ती
tennis,टेनिस
tension,ताण
tent,तंबू
term,मुदत
terms,अटी
terrible,भयानक
territory,प्रदेश
terror,दहशत
terrorism,दहशतवाद
terrorist,दहशतवादी
test,चाचणी
testify,साक्ष
testimony,साक्ष
testing,चाचणी
text,मजकूर
than,पेक्षा
thank,धन्यवाद
thanks,धन्यवाद
that,की
the,च्या
theater,थिएटर
their,त्यांचे
them,त्यांना
theme,थीम
themselves,स्वतः
then,नंतर
theory,सिद्धांत
therapy,उपचार
there,तेथे
therefore,म्हणून
these,या
they,ते
thick,जाड
thin,पातळ
thing,गोष्ट
think,विचार करा
thinking,विचार
third,तिसऱ्या
thirty,तीस
this,हे
those,त्या
though,तरी
thought,विचार
thousand,हजार
threat,धमकी
threaten,धमकी देणे
three,तीन
throat,घसा
through,द्वारे
throughout,संपूर्ण
throw,फेकणे
thus,अशा प्रकारे
ticket,तिकीट
tie,टाय
tight,घट्ट
time,वेळ
tiny,लहान
tip,टीप
tire,टायर
tired,थकलेला
tissue,ऊतक
title,शीर्षक
to,ला
tobacco,तंबाखू
today,आज
toe,पायाचे बोट
together,एकत्र
told,सांगितले
tomato,टोमॅटो
tomorrow,उद्या
tone,टोन
tongue,जीभ
tonight,आज रात्री
too,खूप
took,घेतला
tool,साधन
tooth,दात
top,वर
topic,विषय
toss,नाणेफेक
total,एकूण
totally,पूर्णपणे
touch,स्पर्श
tough,कठीण
tour,दौरा
tourist,पर्यटक
tournament,स्पर्धा
toward,दिशेने
towards,दिशेने
tower,बुरुज
town,शहर
toy,खेळणी
trace,ट्रेस
track,मागोवा
trade,व्यापार
tradition,परंपरा
traditional,पारंपारिक
traffic,रहदारी
tragedy,शोकांतिका
trail,पायवाट
train,ट्रेन
training,प्रशिक्षण
transfer,हस्तांतरण
transform,परिवर्तन
transformation,परिवर्तन
transition,संक्रमण
translate,भाषांतर करा
transportation,वाहतूक
travel,प्रवास
treat,उपचार करा
treatment,उपचार
treaty,करार
tree,झाड
tremendous,प्रचंड
trend,कल
trial,चाचणी
triangle,त्रिकोण
tribe,टोळी
trick,युक्ती
trip,सहल
troop,फौज
trouble,त्रास
truck,ट्रक
truly,खरोखर
trust,विश्वास
truth,सत्य
try,प्रयत्न
tube,नळी
tunnel,बोगदा
turn,वळण
TV,टीव्ही
twelve,बारा
twenty,वीस
twice,दोनदा
twin,जुळे
two,दोन
type,प्रकार
typical,वैशिष्ट्यपूर्ण
typically,साधारणपणे
ugly,कुरूप
ultimate,अंतिम
ultimately,शेवटी
unable,अक्षम
uncle,काका
under,अंतर्गत
undergo,पडणे
understand,समजून घ्या
understanding,समज
unfortunately,दुर्दैवाने
uniform,एकसमान
union,संघ
unique,अद्वितीय
unit,युनिट
United,संयुक्त
universal,सार्वत्रिक
universe,विश्व
university,विद्यापीठ
unknown,अज्ञात
unless,जोपर्यंत
unlike,विपरीत
unlikely,संभव नाही
until,पर्यंत
unusual,असामान्य
up,वर
upon,वर
upper,वरील
urban,शहरी
urge,आग्रह
us,आम्हाला
use,वापर
used,वापरले
useful,उपयुक्त
user,वापरकर्ता
usual,नेहमीच्या
usually,सहसा
utility,उपयुक्तता
vacation,सुट्टी
valley,दरी
valuable,मौल्यवान
value,मूल्य
variable,चल
variation,फरक
variety,विविधता
various,विविध
vary,भिन्न
vast,विशाल
vegetable,भाजी
vehicle,वाहन
venture,उपक्रम
verb,क्रियापद
version,आवृत्ती
versus,विरुद्ध
very,खूप
vessel,भांडे
veteran,अनुभवी
via,द्वारे
victim,बळी
victory,विजय
video,व्हिडिओ
view,दृश्य
viewer,दर्शक
village,गाव
violate,उल्लंघन करणे
violation,उल्लंघन
violence,हिंसा
violent,हिंसक
virtually,अक्षरशः
virtue,पुण्य
virus,विषाणू
visible,दृश्यमान
vision,दृष्टी
visit,भेट
visitor,अभ्यागत
visual,दृश्य
vital,महत्त्वपूर्ण
voice,आवाज
volume,खंड
volunteer,स्वयंसेवक
vote,मत
voter,मतदार
vowel,स्वर
vs,वि
vulnerable,असुरक्षित
wage,वेतन
wait,थांबा
wake,जागे व्हा
walk,चाला
wall,भिंत
wander,भटकणे
want,पाहिजे
war,युद्ध
warm,उबदार
warn,चेतावणी
warning,चेतावणी
was,होते
wash,धुवा
waste,कचरा
watch,पहा
water,पाणी
wave,लाट
way,मार्ग
we,आम्ही
weak,कमकुवत
wealth,संपत्ती
wealthy,श्रीमंत
weapon,शस्त्र
wear,परिधान करा
weather,हवामान
wedding,लग्न
week,आठवडा
weekend,शनिवार व रविवार
weekly,साप्ताहिक
weigh,वजन
weight,वजन
welcome,स्वागत आहे
welfare,कल्याण
well,चांगले
went,गेला
were,होते
west,पश्चिम
western,पाश्चात्य
wet,ओले
what,काय
whatever,काहीही
wheel,चाक
when,कधी
whenever,केव्हाही
where,कुठे
whereas,तर
whether,की नाही
which,जे
while,दरम्यान
whisper,कुजबुजणे
white,पांढरा
who,कोण
whole,संपूर्ण
whom,ज्या
whose,कोणाचे
why,का
wide,रुंद
widely,मोठ्या प्रमाणावर
widespread,व्यापक
wife,पत्नी
wild,जंगली
will,इच्छा
willing,इच्छुक
win,विजय
wind,वारा
window,खिडकी
wine,वाइन
wing,पंख
winner,विजेता
winter,हिवाळा
wipe,पुसणे
wire,वायर
wisdom,शहाणपण
wise,ज्ञानी
wish,इच्छा
with,सह
withdraw,मागे घ्या
within,आत
without,शिवाय
witness,साक्षीदार
woman,स्त्री
women,महिला
won’t,करणार नाही
wonder,आश्चर्य
wonderful,अप्रतिम
wood,लाकूड
wooden,लाकडी
word,शब्द
work,काम
worker,कामगार
working,कार्यरत
works,काम करते
workshop,कार्यशाळा
world,जग
worried,काळजीत
worry,काळजी
worth,किमतीची
would,होईल
wound,जखम
wrap,लपेटणे
write,लिहा
writer,लेखक
writing,लेखन
written,लिहिलेले
wrong,चुकीचे
wrote,लिहिले
yard,अंगण
yeah,होय
year,वर्ष
yell,ओरडणे
yellow,पिवळा
yes,होय
yesterday,काल
yet,अद्याप
yield,उत्पन्न
you,तू
young,तरुण
your,आपले
yours,आपले
yourself,तू स्वतः
youth,तरुण
zombie,झोम्बी
zone,झोन
zoo,प्राणीसंग्रहालय
zoology,प्राणीशास्त्र
zoom,झूम करा
